input,answer,predict,bleu
"ま そう いう 
","['はー \r\n', 'そう な ん です ね \r\n', 'や お 優しい です ね \r\n', '確か に \r\n', 'あ \r\n']","['あ \r\n', 'あ \r\n', 'あ \r\n', 'あ \r\n', 'あ \r\n']","[3.643663978890684e-232, 3.643663978890684e-232, 3.643663978890684e-232, 3.643663978890684e-232, 3.643663978890684e-232]"
"ま そう いう こと で 
","['素晴らしい \r\n', 'すごい です ねー \r\n']","['あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n']","[6.091662401187849e-232, 6.091662401187849e-232]"
"ま そう いう こと で 誘っ て くれ て おり ます の で 
","['優しい なー \r\n', 'はー \r\n', 'はい ええ \r\n', 'いい お 孫 さん です ね \r\n', 'ふーん いい です ね \r\n', 'わー ほんと に いい お 孫 さん \r\n', 'はい うわ \r\n']","['あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n']","[1.3323568171640778e-231, 1.3323568171640778e-231, 1.3323568171640778e-231, 1.3323568171640778e-231, 1.3323568171640778e-231, 1.3323568171640778e-231, 1.3323568171640778e-231]"
"ま そう いう 幸運 
",['ふーん \r\n'],['あ そう な ん です ね \r\n'],[0.0]
"ま それ から あー 
",['ふーん \r\n'],['あー そう な ん です ね \r\n'],[0.0]
"ま それ が おもな 
",['そう です ね \r\n'],['あー \r\n'],[0.0]
"ま それ が おもな もの です けれど も 
","['あー そう な ん です ね \r\n', 'へー 素敵 な ご 趣味 です ね \r\n', 'はい ええ ええ ほー ん \r\n']","['あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n']","[1.3419164372613203e-231, 1.3419164372613203e-231, 1.3419164372613203e-231]"
"ま それ が 無事 でき まし て 
","['わー 無事 で \r\n', 'へえ \r\n', 'あー 良かっ た です \r\n', 'あー \r\n']","['あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n']","[6.630031782244764e-232, 6.630031782244764e-232, 6.630031782244764e-232, 6.630031782244764e-232]"
"ま それ は 
","['っ ふふふ \r\n', 'じゃ やり ましょう か って 言っ て \r\n']","['はい \r\n', 'はい \r\n']","[0.0, 0.0]"
"ま それ は 冗談 です けど も 
","['はっ はい \r\n', 'そう な ん です ね ええ ええ \r\n', 'お 疲れ に なり まし た ね \r\n', 'へー \r\n']","['はい あー そう です ね \r\n', 'はい あー そう です ね \r\n', 'はい あー そう です ね \r\n', 'はい あー そう です ね \r\n']","[9.165658046157338e-232, 9.165658046157338e-232, 9.165658046157338e-232, 9.165658046157338e-232]"
"ま そんな あー こと が 
",['うーん \r\n'],['あー そう な ん です ね \r\n'],[0.0]
"ま そんな あー こと が ござい まし て 
",['疲れ てらし た ん です ね \r\n'],['あ そう な ん です ね \r\n'],[1.3165594234639305e-231]
"ま そー いう 意味 で あのー 
",['いい 時代 で は ない けど も \r\n'],['あー そう な ん です か \r\n'],[1.1409851298103347e-231]
"ま で 
","['はい いっ せん \r\n', 'あ へえ \r\n', '目指し て ええ \r\n', 'ああ \r\n', 'あ はい ええ \r\n']","['あ そう な ん です ね \r\n', 'あ そう な ん です ね \r\n', 'あ そう な ん です ね \r\n', 'あ そう な ん です ね \r\n', 'あ そう な ん です ね \r\n']","[1.1395372257841251e-231, 1.1395372257841251e-231, 1.1395372257841251e-231, 1.1395372257841251e-231, 1.1395372257841251e-231]"
"ま で えー 約 ひち はち 分 うー 徒歩 で 
","['へー \r\n', 'あ 徒歩 で は いはい \r\n', '七八 分 \r\n']","['あ はい \r\n', 'あ はい \r\n', 'あ はい \r\n']","[9.123598026189143e-232, 9.123598026189143e-232, 9.123598026189143e-232]"
"ま わたくし も 
","['へえ \r\n', 'へえ \r\n']","['はー \r\n', 'はー \r\n']","[0.0, 0.0]"
"ま わたくし も 個人 的 に 
",['あー \r\n'],['あー \r\n'],[0.0]
"ま わたくし も 個人 的 に 担当 と し て 
","['ああ ああ うーん \r\n', 'あ \r\n', 'あっ \r\n', 'あ そう な ん です ねー \r\n']","['あー はい はい \r\n', 'あー はい はい \r\n', 'あー はい はい \r\n', 'あー はい はい \r\n']","[1.0574525506490772e-231, 1.0574525506490772e-231, 1.0574525506490772e-231, 1.0574525506490772e-231]"
"ま パイロット に 
",['うーん \r\n'],['うーん \r\n'],[0.0]
"ま パイロット に なり たかっ た ん です 
","['パイロット です か \r\n', 'あー そう な ん です か \r\n', 'あー はい はい はい \r\n', 'うーん あー \r\n', 'うーん かっこ いい です よ ね \r\n', 'あー そー な ん です かー \r\n', 'ああ \r\n', 'あー かっこ いい \r\n']","['あー はい はい はい \r\n', 'あー はい はい はい \r\n', 'あー はい はい はい \r\n', 'あー はい はい はい \r\n', 'あー はい はい はい \r\n', 'あー はい はい はい \r\n', 'あー はい はい はい \r\n', 'あー はい はい はい \r\n']","[1.0103401796705068e-231, 1.0103401796705068e-231, 1.0103401796705068e-231, 1.0103401796705068e-231, 1.0103401796705068e-231, 1.0103401796705068e-231, 1.0103401796705068e-231, 1.0103401796705068e-231]"
"ま ヨーロッパ の 方 へ 旅行 中 です 
","['あ そう な ん です ね \r\n', 'ええ は そう な ん です か \r\n', 'ええ あー 素敵 です ね \r\n', 'おお あー ああ ああ ああ \r\n', 'ええ あ そう です か \r\n', 'ええ あ \r\n', 'ええ あ はい \r\n', 'うん うわー \r\n']","['あー そう な ん です か \r\n', 'あー そう な ん です か \r\n', 'あー そう な ん です か \r\n', 'あー そう な ん です か \r\n', 'あー そう な ん です か \r\n', 'あー そう な ん です か \r\n', 'あー そう な ん です か \r\n', 'あー そう な ん です か \r\n']","[1.3608248526559588e-231, 1.3608248526559588e-231, 1.3608248526559588e-231, 1.3608248526559588e-231, 1.3608248526559588e-231, 1.3608248526559588e-231, 1.3608248526559588e-231, 1.3608248526559588e-231]"
"ま 中学 
",['そう 逆 に \r\n'],['うーん \r\n'],[0.0]
"ま 中学 入っ て 二 年 ぐらい まで で 筆 を ま おり まし た けど ね 
","['あー そー な ん です ねー \r\n', 'あ ふーん \r\n', 'あー そう です か \r\n', 'あ あー そう だっ た ん です ね \r\n', 'あー そう な ん です か \r\n', 'あー そう です か \r\n']","['あー はい はい \r\n', 'あー はい はい \r\n', 'あー はい はい \r\n', 'あー はい はい \r\n', 'あー はい はい \r\n', 'あー はい はい \r\n']","[1.1919326621077631e-231, 1.1919326621077631e-231, 1.1919326621077631e-231, 1.1919326621077631e-231, 1.1919326621077631e-231, 1.1919326621077631e-231]"
"ま 今 で も 
","['ゴルフ です ね \r\n', 'へ へ \r\n', 'へー \r\n']","['はい あ そう な ん です ね \r\n', 'はい あ そう な ん です ね \r\n', 'はい あ そう な ん です ね \r\n']","[9.443808709265313e-232, 9.443808709265313e-232, 9.443808709265313e-232]"
"ま 今 で も 健康 管理 の 一環 と し て やっ て おり ます 
","['あー いい です ね \r\n', 'はい はあ そう な ん です か \r\n', 'そう です ね 健康 に は いい か も \r\n', 'あ そう な ん です ね 健康 の ため です ね \r\n', 'えー えー あっ そー です かー \r\n', 'うん うん なるほど はい \r\n']","['あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n']","[1.2195002849996248e-231, 1.2195002849996248e-231, 1.2195002849996248e-231, 1.2195002849996248e-231, 1.2195002849996248e-231, 1.2195002849996248e-231]"
"ま 今 は 皆 さん も ご 存じ の サムソナイト です けど も 
","['うーん はい そう です ね あ はい はい \r\n', 'うん サムソナイト ええ \r\n', 'ええ ええ あ はい \r\n', '0 0 7 の はい \r\n', 'ええ サムソナイト はい \r\n', 'サムソナイト はい \r\n', 'はい はー \r\n']","['あ そう な ん です か \r\n', 'あ そう な ん です か \r\n', 'あ そう な ん です か \r\n', 'あ そう な ん です か \r\n', 'あ そう な ん です か \r\n', 'あ そう な ん です か \r\n', 'あ そう な ん です か \r\n']","[1.2276958472539265e-231, 1.2276958472539265e-231, 1.2276958472539265e-231, 1.2276958472539265e-231, 1.2276958472539265e-231, 1.2276958472539265e-231, 1.2276958472539265e-231]"
"ま 健康 に 恵まれ てる 
",['いい な \r\n'],['あー \r\n'],[0.0]
"ま 健康 に 恵まれ てる こと が 
","['いい な うん \r\n', 'そう です よ ね \r\n']","['そう です ね \r\n', 'そう です ね \r\n']","[1.2751464390240073e-231, 1.2751464390240073e-231]"
"ま 出張 し て えー 参列 し た ん です が 
","['あー そう な ん です か \r\n', 'あー 良かっ た です ね \r\n', 'へえ \r\n']","['あー そう な ん です か \r\n', 'あー そう な ん です か \r\n', 'あー そう な ん です か \r\n']","[8.221901198126434e-232, 8.221901198126434e-232, 8.221901198126434e-232]"
"ま 実際 の 
",['そー なる と いー です ねー \r\n'],['はい あ \r\n'],[1.1409851298103347e-231]
"ま 実際 の 話 
",['実際 は どう でしょう か \r\n'],['はい はー \r\n'],[1.2183324802375697e-231]
"ま 愛らしい 
",['うん わかり ます \r\n'],['あー \r\n'],[0.0]
"ま 愛らしい 顔 を し た 女の子 
","['うーん うん 見 た こと あり ます \r\n', 'へえ \r\n']","['はー \r\n', 'はー \r\n']","[0.0, 0.0]"
"ま 映画 鑑賞 が おもな ん です けど も 
","['映画 鑑賞 です ね \r\n', 'おもしろい です よ ね \r\n', 'うん 映画 鑑賞 いい です よ ねー \r\n', 'えー はい 映画 鑑賞 \r\n']","['あ そう な ん です か \r\n', 'あ そう な ん です か \r\n', 'あ そう な ん です か \r\n', 'あ そう な ん です か \r\n']","[1.0798931192128154e-231, 1.0798931192128154e-231, 1.0798931192128154e-231, 1.0798931192128154e-231]"
"ま 普段 
",['さすが です \r\n'],['あ はい \r\n'],[1.384292958842266e-231]
"ま 普段 車 に 乗っ たり 色々 
",['あー \r\n'],['あー \r\n'],[0.0]
"ま 普段 車 に 乗っ たり 色々 し て ます の で 
","['はあ お 車 な ん です ね \r\n', 'あー はい \r\n']","['あー はい \r\n', 'あー はい \r\n']","[1.1718716321787646e-231, 1.1718716321787646e-231]"
"ま 最近 と 
",['な ん でしょう \r\n'],['あ そう な ん です ね \r\n'],[1.646211035903463e-231]
"ま 本当 に たわい の ない バカ ばなし を する と か 
","['ええ いい です ね \r\n', 'うん いい です よ たわい の ない 話 が \r\n', 'あはっ はい \r\n', 'あ はい ええ ええ \r\n', 'ふふふっ \r\n']","['あ そう な ん です か \r\n', 'あ そう な ん です か \r\n', 'あ そう な ん です か \r\n', 'あ そう な ん です か \r\n', 'あ そう な ん です か \r\n']","[9.762374434538522e-232, 9.762374434538522e-232, 9.762374434538522e-232, 9.762374434538522e-232, 9.762374434538522e-232]"
"ま 洋服 ソーイング です ね 洋服 
","['あ 作る こと \r\n', 'はい へー お 洋服 を 縫わ れる ん です か \r\n', 'あー はい \r\n', 'うーん 作る こと が 好き な ん です か \r\n', 'おー はい \r\n', 'あ そう です か はい \r\n']","['あー そう な ん です か \r\n', 'あー そう な ん です か \r\n', 'あー そう な ん です か \r\n', 'あー そう な ん です か \r\n', 'あー そう な ん です か \r\n', 'あー そう な ん です か \r\n']","[1.3611130948960417e-231, 1.3611130948960417e-231, 1.3611130948960417e-231, 1.3611130948960417e-231, 1.3611130948960417e-231, 1.3611130948960417e-231]"
"ま 洋服 ソーイング です ね 洋服 うー 仕上げる こと 
","['はぁー そー です かー \r\n', 'ご 自分 で は いはい \r\n', 'へえ \r\n', 'うーん \r\n']","['うーん \r\n', 'うーん \r\n', 'うーん \r\n', 'うーん \r\n']","[2.561228538047238e-232, 2.561228538047238e-232, 2.561228538047238e-232, 2.561228538047238e-232]"
"ま 準 優勝 でき た 
","['はー \r\n', 'あー 凄い です ね \r\n', 'あ 凄い です ね \r\n', 'うん へー \r\n', 'はー 凄い \r\n', '準 優勝 です か \r\n']","['あー はい \r\n', 'あー はい \r\n', 'あー はい \r\n', 'あー はい \r\n', 'あー はい \r\n', 'あー はい \r\n']","[1.4122620825835052e-231, 1.4122620825835052e-231, 1.4122620825835052e-231, 1.4122620825835052e-231, 1.4122620825835052e-231, 1.4122620825835052e-231]"
"ま 現在 その 先生 は 亡くなっ て しまい まし た けど 
","['あっ 残念 です ね はい \r\n', 'あー そう な ん です か \r\n', 'あー そう な ん です か はい \r\n', 'ああ うん \r\n', 'あー そう です か \r\n', 'あー そう な ん です か \r\n', 'あー そう な ん です か \r\n', 'ああ \r\n', 'あっ そう な ん です ねー \r\n', 'そう です ね \r\n']","['あー そう な ん です か \r\n', 'あー そう な ん です か \r\n', 'あー そう な ん です か \r\n', 'あー そう な ん です か \r\n', 'あー そう な ん です か \r\n', 'あー そう な ん です か \r\n', 'あー そう な ん です か \r\n', 'あー そう な ん です か \r\n', 'あー そう な ん です か \r\n', 'あー そう な ん です か \r\n']","[1.1904053594101555e-231, 1.1904053594101555e-231, 1.1904053594101555e-231, 1.1904053594101555e-231, 1.1904053594101555e-231, 1.1904053594101555e-231, 1.1904053594101555e-231, 1.1904053594101555e-231, 1.1904053594101555e-231, 1.1904053594101555e-231]"
"ま 自分 の 健康 を 
",['健康 維持 し たい って いう \r\n'],['はい あー \r\n'],[1.0003688322288243e-231]
"ま 自分 自身 の 中 で やはり それ が 一番 
","['あー \r\n', 'そう です ね \r\n']","['あー \r\n', 'あー \r\n']","[0.0, 0.0]"
"ま 自分 自身 の 中 で やはり それ が 一番 あー 
",['そう です ね \r\n'],['あー \r\n'],[0.0]
"ま 自分 自身 の 中 で やはり それ が 一番 あー 嬉しかっ た か なー と 
","['一番 はい \r\n', 'そう です ね \r\n', 'はー \r\n', 'そー な ん です ね ご 家族 \r\n']","['はー \r\n', 'はー \r\n', 'はー \r\n', 'はー \r\n']","[6.909175547522663e-232, 6.909175547522663e-232, 6.909175547522663e-232, 6.909175547522663e-232]"
"ま 自分 自身 の 中 で やはり それ が 一番 あー 嬉しかっ た か なー と いう 
",['そう です よ ね \r\n'],['あ \r\n'],[0.0]
"ま 自分 自身 の 中 で やはり それ が 一番 あー 嬉しかっ た か なー と いう こと で 
",['そう です ね \r\n'],['あー \r\n'],[0.0]
"ま 自分 自身 の 中 で やはり それ が 一番 あー 嬉しかっ た か なー と いう こと で 作文 に は 
",['そう な ん です ね \r\n'],['あー \r\n'],[0.0]
"ま 自分 自身 の 中 で やはり それ が 一番 あー 嬉しかっ た か なー と いう こと で 作文 に は その よう に 記載 を 
","['あー \r\n', 'あ \r\n']","['はい あー \r\n', 'はい あー \r\n']","[9.10915994722671e-232, 9.10915994722671e-232]"
"ま 自分 自身 の 中 で やはり それ が 一番 あー 嬉しかっ た か なー と いう こと で 作文 に は その よう に 記載 を し まし た 
","['はい あ そう です か \r\n', 'あ はい \r\n', 'はい ありがとう ござい ます \r\n']","['はい あ そう な ん です か \r\n', 'はい あ そう な ん です か \r\n', 'はい あ そう な ん です か \r\n']","[1.3835149061747985e-231, 1.3835149061747985e-231, 1.3835149061747985e-231]"
"ま 色々 お 友達 が 多い ん です が 
","['ああ そう な ん です ね \r\n', 'あ はい \r\n', 'あー そー です \r\n']","['あ そう な ん です ね \r\n', 'あ そう な ん です ね \r\n', 'あ そう な ん です ね \r\n']","[1.4817463882196763e-231, 1.4817463882196763e-231, 1.4817463882196763e-231]"
"ま 色々 お 友達 が 多い ん です が それぞれ 
",['いー です ねー はい \r\n'],['あー そう な ん です ね \r\n'],[1.2882297539194154e-231]
"ま 観 たい 映画 が 
","['へー \r\n', 'あー そう な ん です か \r\n']","['あー はい はい はい \r\n', 'あー はい はい はい \r\n']","[5.0018441611441214e-232, 5.0018441611441214e-232]"
"ま 逆 に 
","['また \r\n', 'あ それ は 嬉しい です ね \r\n']","['あ そう です か \r\n', 'あ そう です か \r\n']","[5.9482286645669864e-232, 5.9482286645669864e-232]"
"ま 逆 に 大変 な 
","['うーん \r\n', 'そー です ね \r\n']","['あ \r\n', 'あ \r\n']","[0.0, 0.0]"
"ま 逆 に 大変 な こと は いっぱい ある と 思い ます けど も 
",['あー \r\n'],['あー そう な ん です ね \r\n'],[0.0]
"ま 逆 に 大変 な こと は いっぱい ある と 思い ます けど も 孫 たち も 
",['そー です ね \r\n'],['あー そう な ん です ね \r\n'],[1.646211035903463e-231]
"ま 逆 に 大変 な こと は いっぱい ある と 思い ます けど も 孫 たち も 元気 で 久々 に 
",['あー 良かっ た です \r\n'],['あー そう な ん です ね \r\n'],[1.1200407237786664e-231]
"ま 逆 に 大変 な こと は いっぱい ある と 思い ます けど も 孫 たち も 元気 で 久々 に 顔 が 
","['ほんと \r\n', 'それ は \r\n', 'お 元気 で \r\n']","['はー \r\n', 'はー \r\n', 'はー \r\n']","[4.614309862807554e-232, 4.614309862807554e-232, 4.614309862807554e-232]"
"ま 逆 に 大変 な こと は いっぱい ある と 思い ます けど も 孫 たち も 元気 で 久々 に 顔 が 会え た 
",['ねー \r\n'],['うーん \r\n'],[0.0]
"ま 逆 に 大変 な こと は いっぱい ある と 思い ます けど も 孫 たち も 元気 で 久々 に 顔 が 会え た こと 
","['まー \r\n', 'そろっ て \r\n', 'そう です ね \r\n', '何 より です \r\n', 'そう です ね \r\n']","['あー \r\n', 'あー \r\n', 'あー \r\n', 'あー \r\n', 'あー \r\n']","[3.0639439782384787e-232, 3.0639439782384787e-232, 3.0639439782384787e-232, 3.0639439782384787e-232, 3.0639439782384787e-232]"
"ま 逆 に 大変 な こと は いっぱい ある と 思い ます けど も 孫 たち も 元気 で 久々 に 顔 が 会え た こと えー とても 
","['賑やか に なっ て \r\n', '良かっ た です \r\n']","['そう です ね \r\n', 'そう です ね \r\n']","[1.1691866020081181e-231, 1.1691866020081181e-231]"
"ま 逆 に 大変 な こと は いっぱい ある と 思い ます けど も 孫 たち も 元気 で 久々 に 顔 が 会え た こと えー とても 嬉しく 思い まし た 
","['それ は 嬉しい と 思い ます \r\n', 'えー えー はい \r\n', 'あ そう な ん です か \r\n', 'よかっ た です よ ねー \r\n', 'うーん そう です ねー \r\n']","['あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n']","[1.1610624791365981e-231, 1.1610624791365981e-231, 1.1610624791365981e-231, 1.1610624791365981e-231, 1.1610624791365981e-231]"
"まぁ 
",['トマト と ピーマン \r\n'],['はい あー \r\n'],[1.2183324802375697e-231]
"まぁ あー まず 最初 に 
",['あはは \r\n'],['あー そう な ん です ね \r\n'],[1.384292958842266e-231]
"ます し また 
","['大切 です よ ねー \r\n', 'いい です ね うーん \r\n']","['はい あー そう な ん です ね \r\n', 'はい あー そう な ん です ね \r\n']","[1.2260005607945557e-231, 1.2260005607945557e-231]"
"まず あの 準備 し た もの が 
",['はい な ん でしょう か \r\n'],['はい あー そう な ん です か \r\n'],[1.5319719891192393e-231]
"まず は 健康 だ と 思い ます の で 
","['ええ あ そう 思い ます \r\n', 'そう です よ ね \r\n', 'はい 健康 が 一番 です \r\n', 'はい そう です ね \r\n', 'それ が 一番 です \r\n', 'ええ それ が 一番 です はい \r\n', 'そう です よ ね はい はい \r\n', 'うん その 通り です ね \r\n', 'そう です よ ね うん \r\n']","['あ そう な ん です か \r\n', 'あ そう な ん です か \r\n', 'あ そう な ん です か \r\n', 'あ そう な ん です か \r\n', 'あ そう な ん です か \r\n', 'あ そう な ん です か \r\n', 'あ そう な ん です か \r\n', 'あ そう な ん です か \r\n', 'あ そう な ん です か \r\n']","[1.085246143951153e-231, 1.085246143951153e-231, 1.085246143951153e-231, 1.085246143951153e-231, 1.085246143951153e-231, 1.085246143951153e-231, 1.085246143951153e-231, 1.085246143951153e-231, 1.085246143951153e-231]"
"まず やり まし て 
","['あ 練習 を し て から \r\n', 'うーん \r\n', 'それ へえ \r\n']","['あ そう な ん です か \r\n', 'あ そう な ん です か \r\n', 'あ そう な ん です か \r\n']","[8.579795639185544e-232, 8.579795639185544e-232, 8.579795639185544e-232]"
"また 
","['うーん \r\n', 'はい \r\n', 'あー そー \r\n']","['あ \r\n', 'あ \r\n', 'あ \r\n']","[0.0, 0.0, 0.0]"
"また あの 
",['素敵 です ね \r\n'],['そう です ね \r\n'],[1.4488496539373276e-231]
"また あの それ 以外 に も 
",['ライフワーク です ね うーん \r\n'],['あー \r\n'],[0.0]
"また あの それ 以外 に も まー 
",['それ 以外 に も \r\n'],['あー そう な ん です ね \r\n'],[1.1200407237786664e-231]
"また あの それ 以外 に も まー いろんな 機会 の 中 で あの 陶芸 やら 
","['あ 陶芸 \r\n', 'あ 陶芸 も \r\n', 'わぁ \r\n', '陶芸 も です か \r\n']","['あー はい はい \r\n', 'あー はい はい \r\n', 'あー はい はい \r\n', 'あー はい はい \r\n']","[1.053775353404864e-231, 1.053775353404864e-231, 1.053775353404864e-231, 1.053775353404864e-231]"
"また あの それ 以外 に も まー いろんな 機会 の 中 で あの 陶芸 やら えー 何 か も やる 機会 も 持ち まし た けど も 
","['へえ \r\n', 'わぁ そー です かー \r\n', 'あー そう な ん です ね \r\n']","['あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n']","[9.330093762518552e-232, 9.330093762518552e-232, 9.330093762518552e-232]"
"また あー 
",['んー \r\n'],['あー そう な ん です ね \r\n'],[1.821831989445342e-231]
"また もっと 日 
",['うーん \r\n'],['あー \r\n'],[0.0]
"また もっと 日 韓中 の 関係 も 
","['うん 日韓 中 です ね \r\n', 'うーん \r\n']","['あー \r\n', 'あー \r\n']","[0.0, 0.0]"
"また もっと 日 韓中 の 関係 も 日中 関係 も とっても 難しい です から 
","['そう です ね はい \r\n', '難しい うん \r\n', 'ええ ええ ええ \r\n', 'うーん はい そう だ と 思い ます \r\n', '日中 は むつかしい です \r\n', 'うん です ねー \r\n', 'はい そう です ねー \r\n', 'うーん そう です ね ー はい \r\n']","['あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n', 'あー そう な ん です ね \r\n']","[1.2040295689974746e-231, 1.2040295689974746e-231, 1.2040295689974746e-231, 1.2040295689974746e-231, 1.2040295689974746e-231, 1.2040295689974746e-231, 1.2040295689974746e-231, 1.2040295689974746e-231]"
"また 自分 が 
",['ご 自分 で \r\n'],['あー そう な ん です ね \r\n'],[1.4488496539373276e-231]
"また 電車 を 乗り換え まし て 
","['あ はい 電車 で ええ \r\n', '乗り換え さ れ て はい \r\n']","['あ はい \r\n', 'あ はい \r\n']","[1.1513425403587343e-231, 1.1513425403587343e-231]"
"まだまだ 
",['そう です ね \r\n'],['あー \r\n'],[0.0]
"まだまだ わから ない こと が 
","['うーん \r\n', 'そう です ね \r\n', 'あー はい \r\n']","['あー \r\n', 'あー \r\n', 'あー \r\n']","[0.0, 0.0, 0.0]"
"まだまだ わから ない こと が たくさん 
",['うーん \r\n'],['あー \r\n'],[0.0]
"まだまだ わから ない こと が たくさん ある の で 
","['凄い です ね \r\n', 'いっぱい あり ます ねー \r\n', 'やー わから ない と 思い ます \r\n']","['あ そう な ん です ね \r\n', 'あ そう な ん です ね \r\n', 'あ そう な ん です ね \r\n']","[1.1761135610770859e-231, 1.1761135610770859e-231, 1.1761135610770859e-231]"
"まっすぐ その まま 
","['ええ そう です ね はい \r\n', 'まっすぐ あはっ はい \r\n', 'まっすぐ はい \r\n']","['はい あ そう な ん です か \r\n', 'はい あ そう な ん です か \r\n', 'はい あ そう な ん です か \r\n']","[1.2734737024030542e-231, 1.2734737024030542e-231, 1.2734737024030542e-231]"
"まわり が 騒然 と し て 
","['まー そう な ん です ね はい \r\n', 'はい あ はぁ そー です か はは \r\n', 'うん そう です ねー \r\n']","['あー そう な ん です か \r\n', 'あー そう な ん です か \r\n', 'あー そう な ん です か \r\n']","[1.2787646934771259e-231, 1.2787646934771259e-231, 1.2787646934771259e-231]"
"まー 
","['す うーん \r\n', 'なんか 素晴らしい お 母 さん です ねー \r\n', 'いいえ \r\n', '交際 が \r\n', 'すごーい 素晴らしい こと だ わー \r\n', 'ええ なん でしょう か \r\n', 'へえ \r\n', 'うーん \r\n', 'お 孫 さん の こと です か \r\n', 'あっ はは はい \r\n', '楽し そう です ね \r\n', 'そう です ね \r\n', '日本 経済 が 良く なれ ば \r\n', '凄い \r\n', '理事 長 と し て \r\n', 'はい どう でしょう か \r\n', '健康 は 大事 です よ ねー \r\n', '笑 \r\n', 'ノー サイド ほー ん \r\n', '凄い \r\n', '良かっ た です \r\n']","['はい あー \r\n', 'はい あー \r\n', 'はい あー \r\n', 'はい あー \r\n', 'はい あー \r\n', 'はい あー \r\n', 'はい あー \r\n', 'はい あー \r\n', 'はい あー \r\n', 'はい あー \r\n', 'はい あー \r\n', 'はい あー \r\n', 'はい あー \r\n', 'はい あー \r\n', 'はい あー \r\n', 'はい あー \r\n', 'はい あー \r\n', 'はい あー \r\n', 'はい あー \r\n', 'はい あー \r\n', 'はい あー \r\n']","[8.38729999928809e-232, 8.38729999928809e-232, 8.38729999928809e-232, 8.38729999928809e-232, 8.38729999928809e-232, 8.38729999928809e-232, 8.38729999928809e-232, 8.38729999928809e-232, 8.38729999928809e-232, 8.38729999928809e-232, 8.38729999928809e-232, 8.38729999928809e-232, 8.38729999928809e-232, 8.38729999928809e-232, 8.38729999928809e-232, 8.38729999928809e-232, 8.38729999928809e-232, 8.38729999928809e-232, 8.38729999928809e-232, 8.38729999928809e-232, 8.38729999928809e-232]"
"まー 2 個 づつ と いう こと な ん で ね 手元 に 
","['へー \r\n', 'はい ほー \r\n']","['あー \r\n', 'あー \r\n']","[6.441148769597077e-232, 6.441148769597077e-232]"
"まー 4 5 分 前 に 
","['うん うん あー もう 余裕 を 持っ て \r\n', 'あー 凄い です \r\n', 'はい 四十 五 分 前 はい \r\n', 'あっ 早い そんな に 前 に はい \r\n']","['あー はい はい \r\n', 'あー はい はい \r\n', 'あー はい はい \r\n', 'あー はい はい \r\n']","[1.0205895548929677e-231, 1.0205895548929677e-231, 1.0205895548929677e-231, 1.0205895548929677e-231]"
"まー あの  
",['うーん \r\n'],['あー そう な ん です ね \r\n'],[0.0]
"まー あの きれい な 棒 棒状 の ひも ひも 状 の 
",['はい カラフル な \r\n'],['あー \r\n'],[0.0]
"まー あの きれい な 棒 棒状 の ひも ひも 状 の もの が 出 て き ます けれど も 長く 長く 
",['へー \r\n'],['あー そう な ん です ね \r\n'],[0.0]
"まー あの それ と あと えー 前回 来 さ せ て いただい て えー また ことし 今回 も あの 違う テーマ で 
","['あー \r\n', 'ええ ああ \r\n']","['あー そう な ん です か \r\n', 'あー そう な ん です か \r\n']","[6.92146479421133e-232, 6.92146479421133e-232]"
"まー あの 自分 の 趣味 と し て 一番 
",['はい ご 趣味 は \r\n'],['はい あ そう な ん です ね \r\n'],[1.331960397810445e-231]
"まー あの 自分 の 趣味 と し て 一番 あー に あげ られる あの あげる と すれ ば 
",['はい 一番 の は \r\n'],['はい \r\n'],[1.1200407237786664e-231]
"まー あの 自分 の 趣味 と し て 一番 あー に あげ られる あの あげる と すれ ば えー 絵画 あー まー 絵 を 
","['あー 絵画 です か \r\n', '絵画 うーん \r\n']","['あー はい はい \r\n', 'あー はい はい \r\n']","[1.2521668413104662e-231, 1.2521668413104662e-231]"
"まー あの 自分 の 趣味 と し て 一番 あー に あげ られる あの あげる と すれ ば えー 絵画 あー まー 絵 を 描く 
",['えー \r\n'],['あー はい はい \r\n'],[0.0]
